Dataset,Trace Generator,Training Time (hours),Generating Time (minutes),Max Flow Size (thousand),#Flows (million)
CAIDA,CTGAN,2.32,0.38,2.682,0.095736
TON_IoT,CTGAN,1,0.2,8.670,0.004294
DC,CTGAN,2.37,0.35,19.469,0.049751
CA,CTGAN,2.35,0.4,20.376,0.539634
CAIDA,E-WGAN-GP,0.249,6.78,2.682,0.095736
TON_IoT,E-WGAN-GP,0.099,6.12,8.670,0.004294
DC,E-WGAN-GP,0.246,6.64,19.469,0.049751
CA,E-WGAN-GP,0.651,7.27,20.376,0.539634
CAIDA,STAN,8.3,1722,2.682,0.095736
TON_IoT,NetDiffusion,2,3960,8.670,0.004294
DC,STAN,9.3,792,19.469,0.049751
CA,STAN,8.7,1224,20.376,0.539634
CAIDA,REaLTabFormer,23.32,60.38,2.682,0.095736
TON_IoT,REaLTabFormer,3.11,27.76,8.670,0.004294
CA,REaLTabFormer,8.42,57.45,20.376,0.539634
DC,REaLTabFormer,10.07,57.6,19.469,0.049751
CAIDA,NetShare,34.9,17,2.682,0.095736
TON_IoT,NetShare,31.18,15,8.670,0.004294
CA,NetShare,97.87,238,20.376,0.539634
DC,NetShare,85.28,23,19.469,0.049751
CAIDA,CascadeNet,3.79,1.84,2.682,0.095736
TON_IoT,CascadeNet,4.27,0.51,8.670,0.004294
CA,CascadeNet,3.92,3.85,20.376,0.539634
DC,CascadeNet,3.43,1.45,19.469,0.049751



